Date;VES1;VES2
06.04.2019 10:50;591,6745625;484,16875
06.04.2019 11:00;625,2219375;489,9741563
06.04.2019 11:10;549,212;535,7283125
06.04.2019 11:20;578,57825;484,528
06.04.2019 11:30;595,24375;580,8363125
06.04.2019 11:40;643,6203125;676,84525
06.04.2019 11:50;676,5425;566,812375
06.04.2019 12:00;787,3235;696,3295625
06.04.2019 12:10;532,435875;702,558125
06.04.2019 12:20;733,2324375;513,96625
06.04.2019 12:30;741,4698125;631,4046875
06.04.2019 12:40;800,4560625;775,0096875
06.04.2019 12:50;616,7700625;523,1514375
06.04.2019 13:00;735,850875;574,653
06.04.2019 13:10;562,5434375;542,9266875
06.04.2019 13:20;545,4973125;648,07775
06.04.2019 13:30;578,6625625;802,598
06.04.2019 13:40;723,0214375;720,1524375
06.04.2019 13:50;809,1726875;774,021625
06.04.2019 14:00;703,21875;748,1134375
06.04.2019 14:10;501,5594063;414,2346563
06.04.2019 14:20;637,9008125;928,3824375
06.04.2019 14:30;640,88975;506,0768438
06.04.2019 14:40;666,428;663,1025
06.04.2019 14:50;627,3303125;640,9748125
06.04.2019 15:00;426,167875;474,3670938
06.04.2019 15:10;383,2759375;357,4399688
06.04.2019 15:20;418,564875;531,1423125
06.04.2019 15:30;345,7829688;323,3395938
06.04.2019 15:40;565,9188125;620,8111875
06.04.2019 15:50;387,2116875;420,81375
06.04.2019 16:00;363,881125;500,0925625
06.04.2019 16:10;296,0569375;246,3388438
06.04.2019 16:20;273,7370625;235,2742969
06.04.2019 16:30;224,06925;193,2841094
06.04.2019 16:40;220,8320156;286,3831875
06.04.2019 16:50;326,7816563;253,4628594
06.04.2019 17:00;364,488125;291,707875
06.04.2019 17:10;233,2724531;246,906375
06.04.2019 17:20;352,1903438;316,247125
06.04.2019 17:30;353,5988438;283,7640625
06.04.2019 17:40;390,4335;309,3733438
06.04.2019 17:50;294,4193125;316,897
06.04.2019 18:00;391,3458438;324,6149688
06.04.2019 18:10;353,6313125;248,8412656
06.04.2019 18:20;265,443125;257,9141094
06.04.2019 18:30;172,6514375;256,7973125
06.04.2019 18:40;214,3697188;253,8614844
06.04.2019 18:50;322,4984688;336,6622188
06.04.2019 19:00;317,901875;292,0720938
06.04.2019 19:10;262,8303438;251,8784844
06.04.2019 19:20;238,9671563;230,2563594
06.04.2019 19:30;212,5210625;187,4183281
06.04.2019 19:40;197,5147813;177,9463906
06.04.2019 19:50;223,1417188;193,2821875
06.04.2019 20:00;266,0460625;230,2297031
06.04.2019 20:10;303,996375;240,5821406
06.04.2019 20:20;350,6034375;249,5550938
06.04.2019 20:30;413,7921563;324,6556875
06.04.2019 20:40;454,1245;311,8519688
06.04.2019 20:50;400,4346563;229,5531563
06.04.2019 21:00;311,2816875;221,3254219
06.04.2019 21:10;341,5055313;236,2002188
06.04.2019 21:20;372,0514063;270,6013125
06.04.2019 21:30;359,74775;265,7045625
06.04.2019 21:40;255,1779688;227,4387656
06.04.2019 21:50;262,7065625;260,1268125
06.04.2019 22:00;309,695125;288,1253438
06.04.2019 22:10;367,5167813;331,9366563
06.04.2019 22:20;370,092625;337,8960313
06.04.2019 22:30;394,3527188;345,3861875
06.04.2019 22:40;421,6353438;399,66225
06.04.2019 22:50;384,1779688;451,14375
06.04.2019 23:00;309,7875938;394,1424375
06.04.2019 23:10;308,1411563;347,0089375
06.04.2019 23:20;416,95;330,2936875
06.04.2019 23:30;571,1860625;485,3005313
06.04.2019 23:40;714,3340625;655,7179375
06.04.2019 23:50;679,6096875;613,687875
07.04.2019 00:00;688,4964375;605,22
07.04.2019 00:10;632,2055625;576,581375
07.04.2019 00:20;657,24925;604,4554375
07.04.2019 00:30;589,9396875;559,3904375
07.04.2019 00:40;646,01;570,6731875
07.04.2019 00:50;636,45425;530,878
07.04.2019 01:00;495,7328438;463,601875
07.04.2019 01:10;482,8795;464,8594688
07.04.2019 01:20;471,9327188;476,1829688
07.04.2019 01:30;440,8317188;454,6477188
07.04.2019 01:40;372,5264375;383,32275
07.04.2019 01:50;308,6464375;301,7904375
07.04.2019 02:00;288,4038438;269,162875
07.04.2019 02:10;250,9019375;284,0876875
07.04.2019 02:20;246,2354844;262,7870313
07.04.2019 02:30;232,7371719;246,8368594
07.04.2019 02:40;241,1270625;193,0245781
07.04.2019 02:50;210,602375;191,1922188
07.04.2019 03:00;220,0997188;208,3058906
07.04.2019 03:10;241,4579531;201,5803438
07.04.2019 03:20;240,6069688;215,9559688
07.04.2019 03:30;246,1499375;243,67125
07.04.2019 03:40;297,041625;315,1001875
07.04.2019 03:50;302,6645;291,6554688
07.04.2019 04:00;202,6774219;184,0640781
07.04.2019 04:10;220,5392656;244,480125
07.04.2019 04:20;186,3095;203,6529219
07.04.2019 04:30;196,9753438;186,7640156
07.04.2019 04:40;273,1831875;254,855
07.04.2019 04:50;193,5416406;258,483375
07.04.2019 05:00;159,990875;228,5124844
07.04.2019 05:10;166,7320156;202,4062969
07.04.2019 05:20;183,2195781;174,9039219
07.04.2019 05:30;165,1175;181,1045469
07.04.2019 05:40;176,9707344;202,7157188
07.04.2019 05:50;159,6395;163,0952813
07.04.2019 06:00;130,0699219;138,6943594
07.04.2019 06:10;85,69544531;91,23003906
07.04.2019 06:20;87,58964844;91,42752344
07.04.2019 06:30;98,13717969;102,1616641
07.04.2019 06:40;90,23736719;101,6336484
07.04.2019 06:50;109,1747969;118,5535469
07.04.2019 07:00;113,0699063;114,6530625
07.04.2019 07:10;103,8018672;101,6239453
07.04.2019 07:20;91,66878906;72,758625
07.04.2019 07:30;86,34842188;56,38461328
07.04.2019 07:40;33,41074609;28,8739043
07.04.2019 07:50;43,94441406;32,66382422
07.04.2019 08:00;28,24182227;26,85312695
07.04.2019 08:10;18,14846875;24,36806641
07.04.2019 08:20;-5,833279297;1,246140991
07.04.2019 08:30;-5,773316406;18,68269141
07.04.2019 08:40;-5,735853027;33,90491797
07.04.2019 08:50;-4,99403418;14,61868066
07.04.2019 09:00;0,954233398;15,42875879
07.04.2019 09:10;1,93633667;2,275125488
07.04.2019 09:20;-2,807820313;-1,410041626
07.04.2019 09:30;-3,297950439;-3,355213623
07.04.2019 09:40;-3,555112549;-3,50644458
07.04.2019 09:50;-3,143069092;-3,539178223
07.04.2019 10:00;-3,049253418;-3,270508789
07.04.2019 10:10;-3,440542236;-3,267109131
07.04.2019 10:20;-3,047582764;-3,257166992
07.04.2019 10:30;-3,054366699;-3,266204346
07.04.2019 10:40;-3,06389502;-4,283058105
07.04.2019 10:50;-3,059735352;-3,272971436
07.04.2019 11:00;-3,053745361;-3,261992432
07.04.2019 11:10;-3,064085205;-3,278187012
07.04.2019 11:20;-3,844717285;-3,27917041
07.04.2019 11:30;-3,059404785;-3,503197754
07.04.2019 11:40;-3,064786621;0,04855854
07.04.2019 11:50;-3,06825708;-2,286537598
07.04.2019 12:00;-3,074113037;-3,230532471
07.04.2019 12:10;-3,071886475;-3,420612793
07.04.2019 12:20;-3,064592773;0,151930573
07.04.2019 12:30;0,599840515;-0,082521873
07.04.2019 12:40;5,88489209;4,58049707
07.04.2019 12:50;2,854713379;1,785744019
07.04.2019 13:00;-1,837101196;-0,672075134
07.04.2019 13:10;0,92596283;0,018775555
07.04.2019 13:20;10,73255957;8,285539063
07.04.2019 13:30;17,11993555;10,72537109
07.04.2019 13:40;28,95453516;25,70077539
07.04.2019 13:50;39,98687109;35,72968359
07.04.2019 14:00;41,95998828;35,54498047
07.04.2019 14:10;47,93258203;35,11487891
07.04.2019 14:20;57,03788281;43,5625
07.04.2019 14:30;67,2935;48,55585938
07.04.2019 14:40;83,76423438;68,887875
07.04.2019 14:50;101,9773281;86,07796094
07.04.2019 15:00;135,1540469;114,1125938
07.04.2019 15:10;118,4670391;109,1996875
07.04.2019 15:20;122,6097813;119,4785859
07.04.2019 15:30;121,8621094;115,6077891
07.04.2019 15:40;116,536875;107,1253125
07.04.2019 15:50;97,60875781;109,7409063
07.04.2019 16:00;102,5753125;110,4258047
07.04.2019 16:10;130,21525;150,2238906
07.04.2019 16:20;180,1914844;193,034125
07.04.2019 16:30;201,1168594;202,2178125
07.04.2019 16:40;228,0759688;222,9298594
07.04.2019 16:50;239,2578281;236,3687188
07.04.2019 17:00;206,4799063;203,6000156
07.04.2019 17:10;167,23625;176,0909375
07.04.2019 17:20;150,6127656;163,4802813
07.04.2019 17:30;129,3149297;113,9292578
07.04.2019 17:40;134,5208594;115,9464297
07.04.2019 17:50;120,1524063;83,53235156
07.04.2019 18:00;72,07175781;20,59839258
07.04.2019 18:10;23,82430664;14,1625166
07.04.2019 18:20;74,61650781;94,838125
07.04.2019 18:30;290,8512188;224,9124219
07.04.2019 18:40;181,5946719;119,6479609
07.04.2019 18:50;90,01496875;89,51373438
07.04.2019 19:00;94,72465625;99,99944531
07.04.2019 19:10;89,17391406;91,34110938
07.04.2019 19:20;81,49302344;101,222125
07.04.2019 19:30;94,92678906;138,1128125
07.04.2019 19:40;105,1602578;148,2364219
07.04.2019 19:50;106,4893125;134,3565313
07.04.2019 20:00;121,1835469;88,53288281
07.04.2019 20:10;175,5651406;72,16747656
07.04.2019 20:20;137,22975;80,73871875
07.04.2019 20:30;98,2823125;54,61889063
07.04.2019 20:40;62,09330859;88,98286719
07.04.2019 20:50;64,46201563;105,8396016
07.04.2019 21:00;87,81474219;82,59728125
07.04.2019 21:10;108,8048672;68,72715625
07.04.2019 21:20;121,2519531;66,26120313
07.04.2019 21:30;139,9555156;74,92782813
07.04.2019 21:40;105,9859453;73,11882813
07.04.2019 21:50;62,04853906;46,33878516
07.04.2019 22:00;30,07291797;18,87475977
07.04.2019 22:10;38,45067578;7,423086426
07.04.2019 22:20;15,23530078;-0,964873535
07.04.2019 22:30;-1,746103271;0,561736755
07.04.2019 22:40;-0,574601929;-3,759345459
07.04.2019 22:50;-3,565746826;-2,592324951
07.04.2019 23:00;-0,16637326;12,89385645
07.04.2019 23:10;13,14380859;43,54415234
07.04.2019 23:20;35,96758594;19,17616797
07.04.2019 23:30;22,38697852;3,851022949
07.04.2019 23:40;2,216488281;-0,732172852
07.04.2019 23:50;-2,255956299;3,578644043
08.04.2019 00:00;5,629063965;6,67026123
08.04.2019 00:10;28,1536875;14,73242773
08.04.2019 00:20;5,082459473;19,79458984
08.04.2019 00:30;3,384291992;2,629867188
08.04.2019 00:40;-2,963380127;1,434288086
08.04.2019 00:50;-3,297790283;-3,026029297
08.04.2019 01:00;-3,435458984;-3,849332275
08.04.2019 01:10;-3,442864746;-3,656236084
08.04.2019 01:20;-3,442009033;-3,645585693
08.04.2019 01:30;-1,684426392;-2,788121826
08.04.2019 01:40;-3,229975098;-3,523947998
08.04.2019 01:50;-3,253220947;-3,543071777
08.04.2019 02:00;-3,465466553;-3,659800781
08.04.2019 02:10;-3,260651367;-3,469772461
08.04.2019 02:20;2,971640381;0,947417664
08.04.2019 02:30;-1,502110596;-1,381114014
08.04.2019 02:40;-3,431607422;-3,679099365
08.04.2019 02:50;-3,822461914;-3,757509521
